User Language,"Please answer 13 questions about one of your classes this fall. 
1.  What college are you attending?","2.  What class you are taking?  
     (Please choose one. If you like, you can do the survey again for another class.)",3.  Is this class on campus (in person) or online?,4.  Instruction is at the right level for me in this class.,5.  The pace of this class is okay for me.,6.  How does the teacher of this class help you learn?       Choose the answers that are true for you.,7.  What other things does the teacher do to help you learn?,8.  The teacher helps me to feel welcome in this class.,9.  The teacher of this class speaks to all students with respect.,"13.  I would recommend this class to a friend,",10.  The books and materials for this class are at the right level for me.,11.  I have access to the books and materials I need for this class.,"12. My teacher has given me information about student support services, such as tutoring, the wellness center, academic advising, and career planning.","13.  I would recommend this class to a friend,","You selected ""no"" when asked if you would recommend this class to a friend.  Please tell us why not.",,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),,,,,,,,no,,,,no,xxx,,,,,,,,,,,,
EN,Kennedy-King College,ESL (English as a Second Language),,yes,yes,The teacher helps me understand the materials.,,never,never,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Computer Skills,,yes,yes,The teacher helps me learn how to use Zoom.,,sometimes,sometimes,no,no - too easy,,no,no,,,,,,,,,,,,,
EN,Olive-Harvey College,,,,,The teacher helps me learn how to use Brightspace.,,always,,,yes,,,,,,,,,,,,,,,,
EN,Kennedy-King College,Language Arts,on campus (in person),no - too difficult,yes,"The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",,sometimes,sometimes,no,no - too difficult,sometimes,not sure,no,,,,,,,,,,,,,
EN,Malcolm X College,Language Arts,on campus (in person),no - too difficult,yes,The teacher helps me understand the materials.,Fndn,always,always,yes,no - too difficult,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","answers our questions, encourages learning",always,always,yes,no - too easy,sometimes,not sure,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",na,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Career Foundations,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",Compassion and empathy ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to take tests.","The teacher uses online interactive lessons, games, quizzes and test. The teacher also uses a website to create interactive study material and quizzes of the lessons we are studying.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",English.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",He play videos to better understanding,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.",Show me videos,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Me explica cada vez q algo no entiendo tengo una maestra extraordinariamente ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Escritura. Hablando.  Lellendo .actividades  en.equipo,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Math,on campus (in person),yes,yes,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,He show me step by step if Iâ€™m having problems,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,No ayuda a la pronuciacion correcta ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Test Taking Skills,on campus (in person),yes,yes,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,Homewrk,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Actividades de mÃ­mica ,always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
ES,Daley College,Computer Skills,online,no - too difficult,no - too fast,The teacher helps me learn how to use Brightspace.,Va demasiado rÃ¡pido en las clases,sometimes,always,yes,no - too difficult,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,no - too easy,yes,The teacher helps me understand the materials.,a lot patientslo,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Math,online,yes,yes,The teacher helps me understand the materials.,N,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Language Arts,online,yes,yes,The teacher helps me understand the materials.,She helped me set up my online classes ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Language Arts,online,yes,yes,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Me explica las lecciones hasta que todos en la clase entendamos el tema,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,"As conversation writing speaking etcâ€¦
",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,The teacher helps me learn how to use Brightspace.,Im no sure,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,"Nos motiva , tiene mucha paciencia y la verdad muy buena Maestra ",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Nada,always,never,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,no - too fast,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps by explaining the work and giving me extra time to finish things. ,always,always,yes,no - too difficult,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Computer Skills,online,yes,yes,The teacher helps me understand the materials.,Help out with tasks ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Math,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",He does everything in his power to help his students ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","El profesor ayuda a que los estudiantes se conozcan, creando grupos de trabajo.

El profesor ayuda a hacer las tareas en la computadora. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,xxxx,always,always,yes,no - too difficult,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,no - too easy,no - too slow,The teacher helps me understand the materials.,Es paciente para explicar las temÃ¡ticas,always,always,yes,no - too easy,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,Computer Skills,on campus (in person),yes,yes,The teacher helps me understand the materials.,Explain in class everything. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Bridge,online,no - too difficult,yes,The teacher helps me understand the materials.,Now I understand how to treat with children it is very helpful and interesting ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),on campus (in person),no - too easy,no - too slow,The teacher helps me learn how to take tests.,Se la pasa hablando todo el dia de la vacuna. No volvÃ­ por eso. Es estresante escuchar al profesor hablar todo el dia de la vacuna .,never,sometimes,no,yes,yes,not sure,no,La verdad no volvÃ­ a las clases por la forma tan intensa de hablar de la vacuna de la profesora era el Ãºnico tema en clase.,,,,,,,,,,,,
ES,Wright College,Math,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.","Hola,  ahorita no estoy asistiendo a clases,  pero me gustariA asistir,  me poodrian mandar las siguiente inscriptions para ged gracias, solo me falta dos materias mathematical y lectura gracias.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","Extra activities, use of different online platforms, repetition of topics. Detailed and clear explanations.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Starting from the basics of math.teaching different methods on learning to get math problems solved.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Explica bien,always,always,yes,yes,no,not sure,yes,,,,,,,,,,,,,
EN,Daley College,Language Arts,online,yes,yes,The teacher helps me understand the materials.,The teacher helps me in the subject we are working on and also the teacher helps me understand math problems that are gonna be in exams im really thankful for the teachers that have help me a lot,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Malcolm X College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,MÃ¡s detalladas las explicaciones ,sometimes,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",GED Math Practice Test.,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
